Route,Algorithm,Travel Time Min,Path Nodes,Runtime Seconds,Memory MB,Found Path,Gap
Asheville_North_Carolina_USA,Dijkstra,14.329242754856283,55,0.06760478019714355,0.49428558349609375,True,baseline
Asheville_North_Carolina_USA,A*,14.495324147303398,66,0.060153961181640625,0.6614151000976562,True,1.2%
Asheville_North_Carolina_USA,Bellman-Ford,14.329242754856283,55,0.31112146377563477,2.2947120666503906,True,0.0%
Atlanta_Georgia_USA,Dijkstra,19.997418139475528,140,0.23249340057373047,1.915252685546875,True,baseline
Atlanta_Georgia_USA,A*,20.282630675114664,135,0.0644984245300293,1.9694137573242188,True,1.4%
Atlanta_Georgia_USA,Bellman-Ford,19.997418139475528,140,2.5390491485595703,9.03127670288086,True,0.0%
Birmingham_Alabama_USA,Dijkstra,20.005844907764967,73,0.2117323875427246,1.8740386962890625,True,baseline
Birmingham_Alabama_USA,A*,20.434689445009774,84,0.1788344383239746,2.5425643920898438,True,2.1%
Birmingham_Alabama_USA,Bellman-Ford,20.005844907764967,73,1.6486341953277588,8.442577362060547,True,0.0%
Charlotte_North_Carolina_USA,Dijkstra,19.999730316524303,147,0.9824590682983398,5.461448669433594,True,baseline
Charlotte_North_Carolina_USA,A*,21.714114925512863,128,0.04203200340270996,4.313148498535156,True,8.6%
Charlotte_North_Carolina_USA,Bellman-Ford,19.999730316524303,147,7.376513719558716,21.15487289428711,True,0.0%
Chattanooga_Tennessee_USA,Dijkstra,20.100051798717455,88,0.18991470336914062,1.3044281005859375,True,baseline
Chattanooga_Tennessee_USA,A*,20.100051798717455,88,0.06579089164733887,1.0826797485351562,True,0.0%
Chattanooga_Tennessee_USA,Bellman-Ford,20.100051798717455,88,1.438598394393921,6.625400543212891,True,0.0%
Clarksville_Tennessee_USA,Dijkstra,19.99967558096115,66,0.10997819900512695,1.302825927734375,True,baseline
Clarksville_Tennessee_USA,A*,19.99967558096115,66,0.015440702438354492,0.9850234985351562,True,0.0%
Clarksville_Tennessee_USA,Bellman-Ford,19.99967558096115,66,1.0599899291992188,4.153583526611328,True,0.0%
cookeville,Dijkstra,2.193933493132484,12,0.005198240280151367,0.0307769775390625,True,baseline
cookeville,A*,2.193933493132484,12,0.0021457672119140625,0.0319671630859375,True,0.0%
cookeville,Bellman-Ford,2.193933493132484,12,0.013971567153930664,0.07945632934570312,True,0.0%
Cookeville_Lebanon,Dijkstra,20.003250432989876,53,0.030521631240844727,6.250343322753906,True,baseline
Cookeville_Lebanon,A*,20.003250432989876,53,0.017449617385864258,8.750663757324219,True,0.0%
