City,Algorithm,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Found Path,Travel Time Min,Runtime Seconds,Memory MB,Path Nodes,Graph Nodes n,Graph Edges m,Average Degree k_avg,Intersection Count,Circuity Avg,Reference Route Time Min,Route Distance Miles,Negative Cycle,Error,Graph File,Image File
"Knoxville, Tennessee, USA",Dijkstra,35.9730028,-83.952057,36.0037047,-83.772484,True,19.653353612613053,0.17921829223632812,1.3065185546875,39,9391,23597,5.025449898839314,7271,1.064503160943507,19.653353612613053,20.595177220021373,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Knoxville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Knoxville_Dijkstra.png
"Knoxville, Tennessee, USA",A*,35.9730028,-83.952057,36.0037047,-83.772484,True,19.685022781789364,0.1269972324371338,1.1797027587890625,36,9391,23597,5.025449898839314,7271,1.064503160943507,19.653353612613053,20.61123089685812,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Knoxville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Knoxville_A_.png
"Knoxville, Tennessee, USA",Bellman-Ford,35.9730028,-83.952057,36.0037047,-83.772484,True,19.653353612613053,1.471813440322876,6.589313507080078,39,9391,23597,5.025449898839314,7271,1.064503160943507,19.653353612613053,20.595177220021373,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Knoxville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Knoxville_Bellman-Ford.png
"Memphis, Tennessee, USA",Dijkstra,35.1196904,-89.9392731,35.0080524,-90.0875907,True,19.99521299384174,0.5233983993530273,5.4818878173828125,102,23790,62208,5.2297604035308956,18205,1.0778958623187964,19.99521299384174,15.514321581996262,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Memphis_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Memphis_Dijkstra.png
"Memphis, Tennessee, USA",A*,35.1196904,-89.9392731,35.0080524,-90.0875907,True,19.99521299384174,0.03851628303527832,4.313148498535156,102,23790,62208,5.2297604035308956,18205,1.0778958623187964,19.99521299384174,15.514321581996262,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Memphis_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Memphis_A_.png
"Memphis, Tennessee, USA",Bellman-Ford,35.1196904,-89.9392731,35.0080524,-90.0875907,True,19.99521299384174,6.850393533706665,17.514156341552734,102,23790,62208,5.2297604035308956,18205,1.0778958623187964,19.99521299384174,15.514321581996262,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Memphis_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Memphis_Bellman-Ford.png
"Nashville, Tennessee, USA",Dijkstra,36.1393691,-86.7420732,36.065387,-86.9439931,True,19.999048269955395,0.41860532760620117,5.454948425292969,65,22543,55981,4.96659716985317,16057,1.0623203604244726,19.999048269955395,18.245323058669005,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Nashville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Nashville_Dijkstra.png
"Nashville, Tennessee, USA",A*,36.1393691,-86.7420732,36.065387,-86.9439931,True,23.792812373751573,0.03729057312011719,4.313148498535156,154,22543,55981,4.96659716985317,16057,1.0623203604244726,19.999048269955395,15.064439920302846,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Nashville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Nashville_A_.png
"Nashville, Tennessee, USA",Bellman-Ford,36.1393691,-86.7420732,36.065387,-86.9439931,True,19.999048269955395,3.2921977043151855,16.32779312133789,65,22543,55981,4.96659716985317,16057,1.0623203604244726,19.999048269955395,18.245323058669005,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Nashville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Nashville_Bellman-Ford.png
"Johnson City, Tennessee, USA",Dijkstra,36.3326547,-82.3748499,36.428493,-82.3907775,True,15.25383746205309,0.10631060600280762,0.49269866943359375,68,3826,9210,4.814427600627287,2681,1.0825190014593522,15.25383746205309,8.6847872219663,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Johnson_City_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Johnson_City_Dijkstra.png
"Johnson City, Tennessee, USA",A*,36.3326547,-82.3748499,36.428493,-82.3907775,True,15.25383746205309,0.0266115665435791,0.5049209594726562,68,3826,9210,4.814427600627287,2681,1.0825190014593522,15.25383746205309,8.6847872219663,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Johnson_City_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Johnson_City_A_.png
"Johnson City, Tennessee, USA",Bellman-Ford,36.3326547,-82.3748499,36.428493,-82.3907775,True,15.25383746205309,0.390775203704834,2.4221839904785156,68,3826,9210,4.814427600627287,2681,1.0825190014593522,15.25383746205309,8.6847872219663,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Johnson_City_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Johnson_City_Bellman-Ford.png
"Jackson, Tennessee, USA",Dijkstra,35.6547152,-88.8282305,35.5490677,-88.8106919,True,12.65489516243122,0.09936380386352539,0.48439788818359375,86,3572,8769,4.909854423292273,2465,1.0705038199214234,12.65489516243122,8.982879896979787,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Jackson_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Jackson_Dijkstra.png
"Jackson, Tennessee, USA",A*,35.6547152,-88.8282305,35.5490677,-88.8106919,True,12.65489516243122,0.014093875885009766,0.49285125732421875,86,3572,8769,4.909854423292273,2465,1.0705038199214234,12.65489516243122,8.982879896979787,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Jackson_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Jackson_A_.png
"Jackson, Tennessee, USA",Bellman-Ford,35.6547152,-88.8282305,35.5490677,-88.8106919,True,12.65489516243122,0.39555835723876953,2.249805450439453,86,3572,8769,4.909854423292273,2465,1.0705038199214234,12.65489516243122,8.982879896979787,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Jackson_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Jackson_Bellman-Ford.png
